Date,Latitude,Longitude,Species_CULEX PIPIENS,Species_CULEX PIPIENS/RESTUANS,Species_CULEX RESTUANS,WnvPresent
2007-05-29,41.95469,-87.800991,0,1,0,0
2007-05-29,41.95469,-87.800991,0,0,1,0
2007-05-29,41.994991,-87.769279,0,0,1,0
2007-05-29,41.974089,-87.824812,0,1,0,0
2007-05-29,41.974089,-87.824812,0,0,1,0
2007-05-29,41.9216,-87.666455,0,0,1,0
2007-05-29,41.891118,-87.65449100000001,0,0,1,0
2007-05-29,41.867108,-87.654224,0,1,0,0
2007-05-29,41.867108,-87.654224,0,0,1,0
2007-05-29,41.896282,-87.655232,0,0,1,0
2007-05-29,41.919343,-87.694259,0,1,0,0
2007-05-29,41.921965,-87.632085,0,1,0,0
2007-05-29,41.921965,-87.632085,0,0,1,0
2007-05-29,41.688324,-87.676709,0,1,0,0
2007-05-29,41.688324,-87.676709,0,0,1,0
2007-05-29,41.862292,-87.64886,0,0,1,0
2007-05-29,41.720848,-87.666014,0,0,1,0
2007-05-29,41.731922,-87.677512,0,0,1,0
2007-05-29,41.731922,-87.677512,1,0,0,0
2007-05-29,41.891126,-87.61156,0,1,0,0
2007-05-29,41.891126,-87.61156,0,0,1,0
2007-05-29,41.999128999999996,-87.795585,0,1,0,0
2007-05-29,42.01743,-87.68776899999999,0,1,0,0
2007-05-29,41.907645,-87.760886,0,0,1,0
2007-05-29,41.732984,-87.649642,0,0,1,0
2007-06-05,41.95469,-87.800991,0,1,0,0
2007-06-05,41.95469,-87.800991,0,0,1,0
2007-06-05,41.95469,-87.800991,1,0,0,0
2007-06-05,41.974089,-87.824812,0,1,0,0
2007-06-05,41.974089,-87.824812,0,0,1,0
2007-06-05,41.9216,-87.666455,0,1,0,0
2007-06-05,41.9216,-87.666455,0,0,1,0
2007-06-05,41.9216,-87.666455,1,0,0,0
2007-06-05,41.891118,-87.65449100000001,0,0,1,0
2007-06-05,41.867108,-87.654224,0,1,0,0
2007-06-05,41.867108,-87.654224,0,0,1,0
2007-06-05,41.867108,-87.654224,1,0,0,0
2007-06-05,41.896282,-87.655232,0,0,1,0
2007-06-05,41.919343,-87.694259,0,1,0,0
2007-06-05,41.919343,-87.694259,0,0,1,0
2007-06-05,41.921965,-87.632085,0,0,1,0
2007-06-05,41.688324,-87.676709,0,0,1,0
2007-06-05,41.720848,-87.666014,0,1,0,0
2007-06-05,41.731922,-87.677512,0,1,0,0
2007-06-05,41.731922,-87.677512,0,0,1,0
2007-06-05,41.731922,-87.677512,1,0,0,0
2007-06-05,41.999128999999996,-87.795585,0,1,0,0
2007-06-05,41.999128999999996,-87.795585,0,0,1,0
2007-06-05,41.907645,-87.760886,0,0,1,0
2007-06-05,41.732984,-87.649642,0,0,1,0
2007-06-05,41.981964000000005,-87.812827,0,0,1,0
2007-06-05,41.944869,-87.832763,0,0,1,0
2007-06-05,42.011601,-87.81150600000001,0,0,1,0
2007-06-05,41.94983,-87.69845699999999,0,0,1,0
2007-06-05,41.979243,-87.750938,0,0,1,0
2007-06-05,41.986921,-87.689778,0,0,1,0
2007-06-05,41.801497999999995,-87.763416,0,1,0,0
2007-06-05,41.906638,-87.701431,0,0,1,0
2007-06-05,41.723195000000004,-87.64997,0,0,1,0
2007-06-05,41.868077,-87.666901,0,1,0,0
2007-06-05,41.868077,-87.666901,0,0,1,0
2007-06-05,41.869215999999994,-87.627561,0,1,0,0
2007-06-05,41.662014,-87.72460799999999,0,1,0,0
2007-06-05,41.662014,-87.72460799999999,0,0,1,0
2007-06-05,41.662014,-87.72460799999999,1,0,0,0
2007-06-05,41.961743,-87.76007,0,1,0,0
2007-06-05,41.961743,-87.76007,0,0,1,0
2007-06-05,41.953067,-87.776792,0,1,0,0
2007-06-05,41.953067,-87.776792,0,0,1,0
2007-06-05,41.878114000000004,-87.629798,0,0,1,0
2007-06-05,41.958271,-87.702575,0,1,0,0
2007-06-05,41.958271,-87.702575,0,0,1,0
2007-06-05,41.932094,-87.700117,0,0,1,0
2007-06-05,41.994469,-87.667736,0,1,0,0
2007-06-05,42.006858,-87.675919,0,0,1,0
2007-06-05,41.916265,-87.800515,0,1,0,0
2007-06-05,41.916265,-87.800515,0,0,1,0
2007-06-05,41.846075,-87.716277,0,0,1,0
2007-06-05,41.918704999999996,-87.752329,0,0,1,0
2007-06-05,41.682587,-87.707973,0,1,0,0
2007-06-05,41.682587,-87.707973,0,0,1,0
2007-06-05,41.725516999999996,-87.61425799999999,0,1,0,0
2007-06-05,41.948167,-87.730698,0,1,0,0
2007-06-05,41.948167,-87.730698,0,0,1,0
2007-06-05,41.963976,-87.69181,0,0,1,0
2007-06-26,41.95469,-87.800991,0,1,0,0
2007-06-26,41.95469,-87.800991,0,0,1,0
2007-06-26,41.994991,-87.769279,0,1,0,0
2007-06-26,41.994991,-87.769279,0,0,1,0
2007-06-26,41.974089,-87.824812,0,0,1,0
2007-06-26,41.9216,-87.666455,0,1,0,0
2007-06-26,41.9216,-87.666455,0,0,1,0
2007-06-26,41.891118,-87.65449100000001,0,1,0,0
2007-06-26,41.891118,-87.65449100000001,0,0,1,0
2007-06-26,41.867108,-87.654224,0,1,0,0
2007-06-26,41.896282,-87.655232,0,0,1,0
2007-06-26,41.919343,-87.694259,0,0,1,0
2007-06-26,41.688324,-87.676709,0,1,0,0
2007-06-26,41.688324,-87.676709,0,0,1,0
2007-06-26,41.731922,-87.677512,0,0,1,0
2007-06-26,41.891126,-87.61156,0,1,0,0
2007-06-26,41.891126,-87.61156,0,0,1,0
2007-06-26,41.999128999999996,-87.795585,0,1,0,0
2007-06-26,41.999128999999996,-87.795585,0,0,1,0
2007-06-26,42.01743,-87.68776899999999,0,1,0,0
2007-06-26,42.01743,-87.68776899999999,0,0,1,0
2007-06-26,41.944869,-87.832763,0,1,0,0
2007-06-26,41.944869,-87.832763,0,0,1,0
2007-06-26,42.011601,-87.81150600000001,0,1,0,0
2007-06-26,42.011601,-87.81150600000001,0,0,1,0
2007-06-26,41.94983,-87.69845699999999,0,0,1,0
