Date,Latitude,Longitude,Species_CULEX PIPIENS,Species_CULEX PIPIENS/RESTUANS,Species_CULEX RESTUANS,WnvPresent,Sprayed,Avg Pos Dist,Tmax,Tmin,Tavg,DewPoint,WetBulb,Heat,Cool,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Sunrise,Sunset,bc,br,dz,fg,fg+,fu,gr,hz,mi,ra,sn,sq,ts,vc
2007-05-29,41.95469,-87.800991,0,1,0,0,0,1.0,80.0,56.0,68.0,38.0,53.0,0.0,3.0,0.0,29.375,30.08,11.1,23.5,11.4,4.466666666666667,19.133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-29,41.95469,-87.800991,0,0,1,0,0,1.0,80.0,56.0,68.0,38.0,53.0,0.0,3.0,0.0,29.375,30.08,11.1,23.5,11.4,4.466666666666667,19.133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-29,41.994991,-87.769279,0,0,1,0,0,1.0,80.0,56.0,68.0,38.0,53.0,0.0,3.0,0.0,29.375,30.08,11.1,23.5,11.4,4.466666666666667,19.133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-29,41.974089,-87.824812,0,1,0,0,0,1.0,80.0,56.0,68.0,38.0,53.0,0.0,3.0,0.0,29.375,30.08,11.1,23.5,11.4,4.466666666666667,19.133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-29,41.974089,-87.824812,0,0,1,0,0,1.0,80.0,56.0,68.0,38.0,53.0,0.0,3.0,0.0,29.375,30.08,11.1,23.5,11.4,4.466666666666667,19.133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-29,41.9216,-87.666455,0,0,1,0,0,1.0,80.0,56.0,68.0,38.0,53.0,0.0,3.0,0.0,29.375,30.08,11.1,23.5,11.4,4.466666666666667,19.133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-29,41.891118,-87.65449100000002,0,0,1,0,0,1.0,80.0,56.0,68.0,38.0,53.0,0.0,3.0,0.0,29.375,30.08,11.1,23.5,11.4,4.466666666666667,19.133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-29,41.867108,-87.654224,0,1,0,0,0,1.0,80.0,56.0,68.0,38.0,53.0,0.0,3.0,0.0,29.375,30.08,11.1,23.5,11.4,4.466666666666667,19.133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-29,41.867108,-87.654224,0,0,1,0,0,1.0,80.0,56.0,68.0,38.0,53.0,0.0,3.0,0.0,29.375,30.08,11.1,23.5,11.4,4.466666666666667,19.133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-29,41.896282,-87.655232,0,0,1,0,0,1.0,80.0,56.0,68.0,38.0,53.0,0.0,3.0,0.0,29.375,30.08,11.1,23.5,11.4,4.466666666666667,19.133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-29,41.919343,-87.694259,0,1,0,0,0,1.0,80.0,56.0,68.0,38.0,53.0,0.0,3.0,0.0,29.375,30.08,11.1,23.5,11.4,4.466666666666667,19.133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-29,41.921965,-87.632085,0,1,0,0,0,1.0,80.0,56.0,68.0,38.0,53.0,0.0,3.0,0.0,29.375,30.08,11.1,23.5,11.4,4.466666666666667,19.133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-29,41.921965,-87.632085,0,0,1,0,0,1.0,80.0,56.0,68.0,38.0,53.0,0.0,3.0,0.0,29.375,30.08,11.1,23.5,11.4,4.466666666666667,19.133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-29,41.688324,-87.676709,0,1,0,0,0,1.0,80.0,56.0,68.0,38.0,53.0,0.0,3.0,0.0,29.375,30.08,11.1,23.5,11.4,4.466666666666667,19.133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-29,41.688324,-87.676709,0,0,1,0,0,1.0,80.0,56.0,68.0,38.0,53.0,0.0,3.0,0.0,29.375,30.08,11.1,23.5,11.4,4.466666666666667,19.133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
